node,X,Z,classe
779,-12.263118717,0.0,16
780,-11.003531834,0.0,16
781,-9.7196961883,0.0,10
782,-8.3857505579,0.0,11
783,-7.2160773466,0.0,11
784,-5.8370554131,0.0,11
785,-4.4992911165,0.0,11
786,-3.0350189512,0.0,11
787,-1.8435688192,0.0,11
788,-0.64936756411,0.0,10
789,0.66599842984,0.0,16
790,1.9826375022,0.0,16
791,3.2774182451,0.0,16
792,4.5001280985,0.0,16
793,5.671697954,0.0,16
794,7.1598022866,0.0,9
795,8.3285095134,0.0,9
796,9.6698944259,0.0,9
797,10.973056808,0.0,9
798,12.140394855,0.0,9
799,13.399225438,0.0,9
800,14.627439229,0.0,9
801,15.87658457,0.0,9
802,17.009523428,0.0,9
803,18.294903225,0.0,9
804,19.422884028,0.0,9
805,20.569355063,0.0,9
806,21.652337421,0.0,9
807,22.827967638,0.0,9
808,23.881683926,0.0,9
809,25.016186427,0.0,9
810,26.034443655,0.0,9
811,27.025109654,-1.1221519376,9
812,27.025109654,-2.262621128,9
813,27.025109654,-3.302392093,9
814,27.025109654,-4.4396367048,9
815,27.025109654,-5.6284274998,0
816,27.025109654,-6.813737678,0
817,27.025109654,-8.0711052415,0
818,27.025109654,-9.2215413542,0
819,27.025109654,-10.238145497,0
820,27.025109654,-11.305877844,0
821,27.025109654,-12.373610192,0
822,27.025109654,-13.414539346,0
823,27.025109654,-14.457428796,0
824,27.025109654,-15.525161143,0
825,27.025109654,-16.592893491,0
826,27.025109654,-17.638385553,0
827,27.025109654,-18.7061179,26
828,27.025109654,-19.773850247,26
829,27.025109654,-20.831429293,26
830,27.025109654,-21.887074657,26
831,27.025109654,-23.014071549,26
832,27.025109654,-23.994324233,26
833,27.025109654,-25.014075531,26
834,27.025109654,-26.081135187,26
835,27.025109654,-27.148867535,26
836,27.025109654,-28.251794228,26
837,27.025109654,-29.380427384,26
838,27.025109654,-30.482569395,26
839,27.025109654,-31.641338588,26
840,27.025109654,-32.726003319,26
841,27.025109654,-33.884012152,26
842,27.025109654,-34.951744499,26
843,27.025109654,-35.984921246,26
844,27.025109654,-36.983917013,26
845,27.025109654,-38.05164936,26
846,27.025109654,-39.119381708,26
847,27.025109654,-40.144958923,26
848,27.025109654,-41.21269127,26
849,27.025109654,-42.280423618,26
850,27.025109654,-43.348155965,26
851,27.025109654,-44.549908557,26
852,27.025109654,-45.746353779,26
853,27.025109654,-46.946555904,26
854,27.025109654,-48.198500368,26
855,27.025109654,-49.273664683,26
856,27.025109654,-50.34139703,26
857,27.025109654,-51.397325834,0
858,27.025109654,-52.425215634,0
859,27.025109654,-53.492947982,5
860,27.025109654,-54.538123541,5
861,27.025109654,-55.53675254,5
862,27.025109654,-56.588157743,5
863,27.025109654,-57.655890091,0
864,27.025109654,-58.723622438,20
865,27.025109654,-59.7691145,20
866,27.025109654,-60.836846848,20
867,27.025109654,-62.020646223,21
868,27.025109654,-63.225840612,15
869,27.025109654,-64.438042551,11
870,27.025109654,-65.470801153,28
871,27.025109654,-66.669721279,27
872,9.3132934575,-9.7236685981,9
873,9.6119413193,-9.3809574047,0
874,10.036952472,-9.2154000663,0
875,10.49552565,-9.2685531183,9
876,10.874949649,-9.5306326613,9
877,11.085947195,-9.9366411744,9
878,11.086448411,-10.381270577,9
879,10.882472319,-10.780717297,9
880,10.506410905,-11.047273513,0
881,10.046360318,-11.105774721,0
882,9.6158951848,-10.941810419,0
883,9.3141828673,-10.598052447,9
884,9.3145839075,-13.531174322,9
885,9.6159181423,-13.188173597,0
886,10.048941572,-13.023919585,0
887,10.504179617,-13.08185855,0
888,10.883334102,-13.350287177,9
889,11.087881093,-13.754816742,9
890,11.083832641,-14.201949926,9
891,10.873279849,-14.601259144,9
892,10.500654132,-14.859499675,0
893,10.048414481,-14.916018573,0
894,9.615043573,-14.75121678,0
895,9.3145117545,-14.40868669,9
896,9.312854372,-17.344521425,0
897,9.6087019434,-17.003247371,0
898,10.034687084,-16.835697195,0
899,10.4928464,-16.887549257,0
900,10.872986493,-17.148409539,0
901,11.083144559,-17.545326466,9
902,11.089308606,-17.988931707,9
903,10.885902111,-18.396702768,0
904,10.503018607,-18.668590513,0
905,10.041012606,-18.725118619,0
906,9.6101655409,-18.55778977,8
907,9.3129770501,-18.215717063,0
908,9.3132571775,-21.153738984,0
909,9.6115406371,-20.81123956,0
910,10.039260437,-20.645103044,0
911,10.498274384,-20.699592568,8
912,10.87674185,-20.962674435,0
913,11.084448522,-21.360517071,0
914,11.087722149,-21.805867534,9
915,10.874642276,-22.219716337,0
916,10.501344449,-22.479234988,26
917,10.040373755,-22.535038182,8
918,9.6130762568,-22.369840136,8
919,9.3135746872,-22.026876522,8
920,9.3310674172,-24.930790066,0
921,9.6848400899,-24.57444235,26
922,10.161617099,-24.447467228,8
923,10.641879847,-24.578388582,26
924,10.986637928,-24.926797016,8
925,11.112475592,-25.39318103,0
926,10.993636435,-25.860762354,0
927,10.655457456,-26.213495859,26
928,10.176858383,-26.352379591,8
929,9.6945997544,-26.231103236,8
930,9.3307460448,-25.868641913,8
931,9.330728913,-28.741388393,26
932,9.7015056925,-28.375063822,26
933,10.181035036,-28.257704916,26
934,10.658782276,-28.398538434,26
935,10.995180239,-28.752041789,26
936,11.112455954,-29.219160215,8
937,10.986735811,-29.683031955,26
938,10.641058269,-30.032092724,26
939,10.159677759,-30.162534792,26
940,9.6796927834,-30.032571227,8
941,9.3313259569,-29.679666242,4
942,9.3132565096,-32.58374028,4
943,9.6118063607,-32.241052407,26
944,10.036706534,-32.075432056,26
945,10.495213047,-32.128435519,8
946,10.874529758,-32.390155993,4
947,11.08578402,-32.795965768,26
948,11.086626354,-33.240524166,26
949,10.883037041,-33.64005939,26
950,10.507196721,-33.906966304,26
951,10.04728275,-33.965884784,8
952,9.6167150318,-33.802380616,4
953,9.3141452084,-33.457979749,4
954,9.314578839,-36.391184083,4
955,9.6158996801,-36.048186452,4
956,10.048841383,-35.883931317,8
957,10.504275179,-35.94189559,8
