node,X,Y,Z,classe
666,-21.979621217,6.8255530718,-67.85,8
667,-21.064397646,6.4122727865,-67.85,8
668,-20.115228579,6.0001577721,-67.85,1
669,-19.182779521,5.6113659359,-67.85,3
670,-18.257808124,5.2411712868,-67.85,3
671,-17.327624509,4.8842235342,-67.85,1
672,-16.392413338,4.5406672466,-67.85,1
673,-15.452336753,4.210661672,-67.85,1
674,-14.507549655,3.8943909681,-67.85,1
675,-13.55820794,3.5920707446,-67.85,6
676,-12.604377522,3.3039246681,-67.85,1
677,-11.646276343,3.0302624984,-67.85,1
678,-10.684132274,2.7714340611,-67.85,1
679,-9.718030763,2.5277948443,-67.85,1
680,-8.7481413098,2.2997692876,-67.85,1
681,-7.7746550834,2.0878181737,-67.85,1
682,-6.797710076,1.8924282834,-67.85,1
683,-5.8174970157,1.714136442,-67.85,1
684,-4.8342238111,1.5535166867,-67.85,1
685,-3.8481276185,1.4111776046,-67.85,1
686,-2.8594815412,1.2877574666,-67.85,1
687,-1.8685040481,1.1839090529,-67.85,1
688,-0.87560547721,1.1003202706,-67.85,1
689,0.1187669887,1.0376823709,-67.85,7
690,1.1142645259,0.99667739585,-67.85,7
691,2.1103824007,0.97798632044,-67.85,7
692,3.1066657147,0.98226953915,-67.85,6
693,4.1025708792,1.0101613818,-67.85,1
694,5.0975212399,1.0622567903,-67.85,6
695,6.0908606988,1.1390959849,-67.85,1
696,7.0819975657,1.2411632262,-67.85,7
697,8.0701281198,1.3688473979,-67.85,1
698,9.0545245299,1.5224539455,-67.85,1
699,10.044755341,1.7042364575,-67.85,6
700,11.019449326,1.9105424148,-67.85,1
701,11.988233549,2.143166939,-67.85,6
702,13.00076237,2.4163786062,-67.85,8
703,13.9550246,2.7026737645,-67.85,7
704,14.901261849,3.0147950512,-67.85,7
705,15.838668632,3.3523359489,-67.85,8
706,16.766677877,3.7148671579,-67.85,7
707,17.684745281,4.101876927,-67.85,7
708,18.592396988,4.5127953459,-67.85,7
709,19.489204536,4.9469914243,-67.85,8
710,20.374705928,5.4037370392,-67.85,2
711,21.248619571,5.8823210172,-67.85,2
712,22.110672056,6.3819745737,-67.85,2
713,22.960586754,6.9018715537,-67.85,2
714,23.798252793,7.441243792,-67.85,2
715,24.623631244,7.9993399517,-67.85,2
716,25.436642742,8.5753579216,-67.85,2
717,26.237259408,9.1685104391,-67.85,2
718,-27.347095966,9.5813266371,-1.4016025633,0
719,-27.347095966,9.5813266371,-2.6150905195,0
720,-27.347095966,9.5813266371,-3.9139580729,0
721,-27.347095966,9.5813266371,-5.4109077075,0
722,-27.347095966,9.5813266371,-6.6310632328,0
723,-27.347095966,9.5813266371,-7.9465658294,0
724,-27.347095966,9.5813266371,-9.2557585468,0
725,-27.347095966,9.5813266371,-10.663670989,0
726,-27.347095966,9.5813266371,-11.92214986,0
727,-27.347095966,9.5813266371,-13.204158103,0
728,-27.347095966,9.5813266371,-14.696278746,0
729,-27.347095966,9.5813266371,-16.097881309,0
730,-27.347095966,9.5813266371,-17.294734222,0
731,-27.347095966,9.5813266371,-18.610236819,0
732,-27.347095966,9.5813266371,-19.994312893,0
733,-27.347095966,9.5813266371,-21.327341979,0
734,-27.347095966,9.5813266371,-22.626417467,0
735,-27.347095966,9.5813266371,-23.895600512,0
736,-27.347095966,9.5813266371,-25.359949735,0
737,-27.347095966,9.5813266371,-26.561991825,0
738,-27.347095966,9.5813266371,-27.872305245,0
739,-27.347095966,9.5813266371,-29.346363147,0
740,-27.347095966,9.5813266371,-30.713526721,0
741,-27.347095966,9.5813266371,-31.991012968,0
742,-27.347095966,9.5813266371,-33.306515565,0
743,-27.347095966,9.5813266371,-34.59986812,0
744,-27.347095966,9.5813266371,-36.023620724,0
745,-27.347095966,9.5813266371,-37.266259432,0
746,-27.347095966,9.5813266371,-38.548267676,9
747,-27.347095966,9.5813266371,-40.074842086,0
748,-27.347095966,9.5813266371,-41.271694999,0
749,-27.347095966,9.5813266371,-42.587197595,0
750,-27.347095966,9.5813266371,-43.955418729,0
751,-27.347095966,9.5813266371,-45.304302755,0
752,-27.347095966,9.5813266371,-46.595450773,0
753,-27.347095966,9.5813266371,-47.877459017,0
754,-27.347095966,9.5813266371,-49.15946726,0
755,-27.347095966,9.5813266371,-50.652413108,0
756,-27.347095966,9.5813266371,-51.849266021,0
757,-27.347095966,9.5813266371,-53.164768618,0
758,-27.347095966,9.5813266371,-54.58163327,0
759,-27.347095966,9.5813266371,-55.881873778,0
760,-27.347095966,9.5813266371,-57.184518357,0
761,-27.347095966,9.5813266371,-58.4665266,0
762,-27.347095966,9.5813266371,-59.914481534,0
