node,X,Z,classe
832,27.025109654,-23.994324233,40
833,27.025109654,-25.014075531,40
834,27.025109654,-26.081135187,11
835,27.025109654,-27.148867535,11
836,27.025109654,-28.251794228,11
837,27.025109654,-29.380427384,11
838,27.025109654,-30.482569395,11
839,27.025109654,-31.641338588,11
840,27.025109654,-32.726003319,11
841,27.025109654,-33.884012152,11
842,27.025109654,-34.951744499,11
843,27.025109654,-35.984921246,11
844,27.025109654,-36.983917013,11
845,27.025109654,-38.05164936,11
846,27.025109654,-39.119381708,11
847,27.025109654,-40.144958923,11
848,27.025109654,-41.21269127,11
849,27.025109654,-42.280423618,11
850,27.025109654,-43.348155965,11
851,27.025109654,-44.549908557,11
852,27.025109654,-45.746353779,11
853,27.025109654,-46.946555904,11
854,27.025109654,-48.198500368,40
855,27.025109654,-49.273664683,40
856,27.025109654,-50.34139703,40
857,27.025109654,-51.397325834,18
858,27.025109654,-52.425215634,18
859,27.025109654,-53.492947982,18
860,27.025109654,-54.538123541,18
861,27.025109654,-55.53675254,18
862,27.025109654,-56.588157743,0
863,27.025109654,-57.655890091,0
864,27.025109654,-58.723622438,18
865,27.025109654,-59.7691145,18
866,27.025109654,-60.836846848,25
867,27.025109654,-62.020646223,26
868,27.025109654,-63.225840612,19
869,27.025109654,-64.438042551,21
870,27.025109654,-65.470801153,1
871,27.025109654,-66.669721279,42
872,9.3132934575,-9.7236685981,27
873,9.6119413193,-9.3809574047,0
874,10.036952472,-9.2154000663,0
875,10.49552565,-9.2685531183,27
876,10.874949649,-9.5306326613,27
877,11.085947195,-9.9366411744,27
878,11.086448411,-10.381270577,27
879,10.882472319,-10.780717297,27
880,10.506410905,-11.047273513,0
881,10.046360318,-11.105774721,0
882,9.6158951848,-10.941810419,0
883,9.3141828673,-10.598052447,27
884,9.3145839075,-13.531174322,27
885,9.6159181423,-13.188173597,0
886,10.048941572,-13.023919585,0
887,10.504179617,-13.08185855,0
888,10.883334102,-13.350287177,27
889,11.087881093,-13.754816742,27
890,11.083832641,-14.201949926,27
891,10.873279849,-14.601259144,27
892,10.500654132,-14.859499675,0
893,10.048414481,-14.916018573,0
894,9.615043573,-14.75121678,0
895,9.3145117545,-14.40868669,27
896,9.312854372,-17.344521425,0
897,9.6087019434,-17.003247371,0
898,10.034687084,-16.835697195,0
899,10.4928464,-16.887549257,40
900,10.872986493,-17.148409539,0
901,11.083144559,-17.545326466,27
902,11.089308606,-17.988931707,27
903,10.885902111,-18.396702768,0
904,10.503018607,-18.668590513,40
905,10.041012606,-18.725118619,40
906,9.6101655409,-18.55778977,40
907,9.3129770501,-18.215717063,0
908,9.3132571775,-21.153738984,0
909,9.6115406371,-20.81123956,40
910,10.039260437,-20.645103044,40
911,10.498274384,-20.699592568,40
912,10.87674185,-20.962674435,40
913,11.084448522,-21.360517071,0
914,11.087722149,-21.805867534,27
915,10.874642276,-22.219716337,0
916,10.501344449,-22.479234988,40
917,10.040373755,-22.535038182,40
918,9.6130762568,-22.369840136,22
919,9.3135746872,-22.026876522,40
920,9.3310674172,-24.930790066,40
921,9.6848400899,-24.57444235,40
922,10.161617099,-24.447467228,40
923,10.641879847,-24.578388582,22
924,10.986637928,-24.926797016,40
925,11.112475592,-25.39318103,0
926,10.993636435,-25.860762354,0
927,10.655457456,-26.213495859,40
928,10.176858383,-26.352379591,22
