,epsilon_300,epsilon_600,sig
0,0.0191971260884888,0.011879115311026,249.0500860456644
1,0.016395604836694,0.0162070972042458,339.8842608905503
2,0.0184793119425331,0.0129968148791609,272.2233067680823
3,0.017035708512013,0.0169201261270953,353.8967530637496
4,0.0173886294902773,0.0159061413333477,330.9192221071574
5,0.0146685742543594,0.0143589638953985,304.2837519442081
6,0.0181694406412249,0.0136086837798405,284.5644268864569
7,0.0160317707623464,0.014780562622464,310.0385584754209
8,0.0137530586786932,0.0155511115809379,331.9506065102648
9,0.015157919618838,0.0121955645824532,258.6344977570695
