,epsilon_300,epsilon_600,sig
0,0.0205473514352031,0.0167334123222829,344.1729797356477
1,0.0228193315007451,0.0215380269876374,441.6176910507621
2,0.0185704763103624,0.0210210374832956,438.0255293698609
3,0.0193477714764022,0.0197638486251323,410.1631958267131
4,0.0215732142295244,0.0155564932265513,317.7353338864353
5,0.0254887086399467,0.0162213423927737,324.1047639649746
6,0.023215522692611,0.0177669817064188,359.5557926194062
7,0.0189332388419126,0.022060885232022,458.7889480597221
8,0.0242785001878659,0.0185783614866058,373.9442311749295
9,0.0222354510015424,0.0193105823336609,394.6448042123811
