,epsilon_300,epsilon_600,sig
0,0.0154676680899647,0.0128687359485847,277.1155755301547
1,0.0156754687049348,0.0135066056198255,283.9793716575323
2,0.014404228897072,0.0125103334829883,265.5266941123322
3,0.0160520071624224,0.0131936896770406,277.5216270142936
4,0.0163922400665782,0.0123192011121129,260.5859539929964
5,0.0142363102597175,0.0126319073548177,268.4333035735389
6,0.0168274478215652,0.0120745365350662,255.9397573548776
7,0.0172120748504822,0.0138828770097655,290.4897930610659
8,0.015220802377349,0.0136341163588513,287.3668538462462
9,0.0147667719214928,0.0130976819067147,277.1155755301547
