,epsilon_300,epsilon_600,sig
0,0.0267858336774517,0.023001973717499,462.2300818341103
1,0.0250650401422209,0.0216905635974286,438.6835977150745
2,0.0296202141033493,0.0221316415771825,435.0197702159982
3,0.0262911965762055,0.0188724338934543,375.6257426585938
4,0.0291663764383647,0.0206801741428733,406.1872172223789
5,0.0274416219556857,0.0191093456181841,377.7261984620752
6,0.0229119965506801,0.0234736817280776,483.8046920665281
7,0.0237424055933095,0.0197991595714154,401.3476048527265
8,0.0243356643839766,0.0212174443017135,430.6749188665796
9,0.0280227955691639,0.0242660803468173,485.9366734946211
