,epsilon_300,epsilon_600,sig
0,0.0126256249950307,0.0099427189530626,216.6745328294589
1,0.012961163266609,0.0126269516760948,271.253029982453
2,0.0138540619307969,0.0131473304848833,280.4469262230512
3,0.0120883635886833,0.0113421941793798,246.4260779726989
4,0.014941081870759,0.0122977199247334,260.6911851980283
5,0.0134200752005437,0.0115864591359628,248.2223566143603
6,0.0135540794941499,0.0104591741188671,225.8583625506082
7,0.011243185690844,0.0118418812899216,259.7578906429948
8,0.0116619467362841,0.0107320785044496,234.8156124027436
9,0.0145579219622608,0.0103515728899676,223.845139876455
