node,sig
51,283.6885454405001
52,286.1654900226998
53,276.1169275787721
54,275.6733244960049
55,268.0446121661816
61,269.09581385712477
63,271.6496033544886
64,273.1154241749571
65,275.35228357484755
66,278.3369117082608
67,279.04289565884307
68,282.026058206905
69,281.7108634189989
70,283.3236918683769
72,282.6374289107349
84,275.1086040642519
85,280.2323974232073
86,281.72263704580314
87,281.50908910999647
266,280.8123440237228
267,279.5336329654921
718,280.41943307388436
719,279.9751058952762
720,279.5203046032583
721,279.1651565203216
722,279.073335982363
723,279.3864581553016
724,279.2741898079851
725,278.7543599983519
726,278.15649333698184
727,277.37645623234744
728,276.4529415574528
729,275.56158164023725
730,274.793614314495
731,273.92753065240106
732,272.99219771592817
733,272.1734096177363
734,271.28264507308234
735,270.57400264558214
736,269.55182639500293
737,268.79141149650695
738,267.99834510669075
739,266.9825802503992
740,266.14253272708703
741,265.304438965038
742,264.5282005944231
743,263.7087412781052
744,263.0549018498002
745,262.50943811620454
747,262.07916260368813
748,262.2011337103536
749,262.1801213059148
750,262.58634287066184
751,262.9978232519716
752,263.67000540413267
753,264.54562587009025
754,265.79980905374066
755,267.6028627289752
756,269.47236135559064
757,272.02459568546044
758,275.66510870144936
759,279.2600927068599
760,281.9593720307374
761,283.01842701508724
762,284.3381814881866
768,281.0902056444706
769,281.31201960587487
770,281.5131058562281
771,281.7169186749155
772,281.9201921998364
773,282.1213533971826
774,282.2991319741984
775,282.49925902032544
776,282.8025533346432
777,283.21175501289184
778,283.99346306867017
792,284.3193785583787
793,283.5791950165062
794,282.9758927423555
795,282.6558976138092
796,282.4385166039567
797,282.272605935564
798,282.11777715372443
799,281.91984464768564
800,281.6867696068873
801,281.40988690861275
802,281.1288143923158
803,280.83659825993357
804,280.56764917057353
805,280.3228406898354
806,280.10476181559864
807,279.93214580326185
808,279.82188122344667
809,279.71861175368565
810,279.6539698207905
811,279.1207580321007
812,278.67748716913235
813,278.18525937231436
814,277.58341719365
815,277.01468947480697
816,276.48142071217075
817,275.1729055228657
818,274.07088519715546
819,273.2226204166777
820,272.3513226385361
821,271.505366054299
822,270.70111398963854
823,269.94379202874455
824,269.22098188556754
825,268.5407803024152
855,262.5926660244879
856,263.9921601331552
857,265.6339299286851
858,267.54198747939057
859,269.5071389425961
861,273.16082164471766
862,273.67383379002234
863,273.5381770317981
864,273.1822504111657
865,273.1985783693144
866,275.2301611293
872,278.68080328943836
873,276.34902743057216
874,275.22804458309156
875,278.1272271417737
876,280.2666061242385
877,281.61142196779576
878,281.0458709844702
879,278.05722041362765
880,273.6058768037929
881,274.04900306430557
882,276.5822121420132
883,281.0782165884443
884,278.61106503691553
885,273.7381741492473
886,272.84371733634487
887,274.3674569164874
888,279.3918158264816
889,281.3681868929109
890,281.0583002683527
891,277.21320839221187
892,270.58443762394006
893,271.84801253322047
894,273.0801572110501
895,279.32623804519795
896,276.9686450004198
897,271.79177463764967
898,270.7000570191267
899,268.61858916245234
900,274.05675325529535
901,279.8216460288428
902,280.4476258715867
903,276.5370765253641
905,269.8377587753382
906,269.46991706268204
907,273.8295904338586
908,273.316401099037
910,268.42965186848085
913,275.4649027879017
914,278.4798262920205
915,273.5023824720063
917,268.5657989309783
925,272.8916850088375
926,272.4085063237435
980,266.39681427343817
987,267.86949902830906
992,273.6080362965555
998,277.81704338126696
1002,275.1245911091215
1008,285.7610625343524
1046,269.3370908297351
1049,281.09697567000535
1050,277.43872614527214
1051,277.7526189868629
1052,281.857405926768
1055,281.5294328210303
1056,277.4629153250305
1057,280.6830908710587
1058,282.6842855331909
1059,281.41180729252505
1060,272.80402467805277
1061,274.1716858568417
1062,274.68058229953044
1063,276.88847372464113
1064,282.0112828611373
1065,282.3912393140663
1066,281.0071562625287
1067,275.5817232488215
1068,277.1988421671907
1069,279.12625901120794
1070,281.8771533570567
1071,282.43783081693255
1072,275.46965389020136
1073,278.3483317322906
1074,276.38027601614806
1075,280.06571014904387
1076,282.9235287014361
1077,282.3452294136409
1078,277.7420425806723
1079,277.1634274565341
1080,277.0665599370377
1081,282.00021043221045
1082,275.7961422100069
1083,269.64880966820635
1084,273.12658390448064
1085,272.5677310925238
1086,272.3010540290486
1087,281.08164981150594
1088,281.30410318887846
1089,274.18993333879956
1090,273.5590692731268
1091,276.76191429869596
1092,275.4123478443023
1093,280.7895903247424
1094,278.2577423339314
1095,272.3426315817604
1096,278.51114010088247
1097,274.796308801496
1098,277.15276395267665
1099,282.3392155122432
1100,275.7835478406809
1101,271.99627554795177
1102,277.6828015579813
1103,274.4280932188056
1104,278.9991511879706
1105,270.85795228716904
1107,273.9775302820169
1108,270.3428988411141
1109,269.01860179131086
1110,278.7634789079375
1111,278.0393485675748
1112,268.98328949229176
1113,272.2835417405254
1114,276.1841151835906
1115,272.65039455190583
1116,277.88767081804997
1117,271.6946089424229
1118,270.0690449232658
1119,278.966525544339
1120,271.3210205171197
1121,274.92097946974485
1122,280.82066395689463
1124,271.08070898440076
1125,276.15462851147976
1126,271.26436390755214
1127,274.0663125128051
1130,272.3360099234278
1131,268.28390760668367
1133,276.1652190386185
1134,272.6530009899765
1136,270.2583679827085
1137,275.3800555209291
1138,269.6193985102843
1139,275.02209625782785
1141,268.44505787984065
1142,279.0976968458649
1143,269.78048577792765
1144,271.9910158445467
1145,278.7804535218829
1147,270.4104734430596
1148,276.35347157247156
1149,268.82913436020056
1150,271.16198338956616
1153,274.89138650366215
1156,274.1521835012784
1159,268.90119208194494
1160,273.94543014800763
1161,267.8646782623882
1162,273.1393776817695
1164,268.5503614028211
1165,278.8227956271321
1166,267.75644467521045
1167,271.4138715032655
1168,276.67170175019874
1170,272.0524244346867
1171,276.9736418237759
1172,267.1563547630013
1176,273.7385999178535
1178,269.4259460306512
1182,274.58534053838684
1184,271.20307387720203
1186,272.03343964162684
1188,266.80942992385127
1189,271.5979782896831
1190,275.5691439191256
1192,278.3622226949507
1193,277.7266782650704
1197,279.9036442123835
1198,277.17249149270305
1200,269.76633590225345
1201,270.541923479264
1204,273.4087957153374
1205,273.8264702026429
1207,272.1377845168554
1209,276.52467442215925
1212,273.94065046146505
1213,275.78612769424456
1215,283.8826215635857
1221,277.7427887106994
1223,275.01377658539957
1224,268.0338248195766
1227,279.5752994826953
1228,274.60020971510045
1230,272.6354353593513
1232,284.2914317070551
1235,279.6581506372685
1236,278.5887456684769
1237,274.63285881710203
1241,272.50742104775594
1242,275.0716603652887
1246,281.19843623983814
1247,267.84927948282177
1249,279.8489747035165
1251,278.01652080108965
1253,278.551738161922
1258,280.82553973684077
1259,278.32286885632215
1264,280.83295402557724
1268,277.87378691320924
1274,281.28674457841504
1276,281.5955514971563
1280,265.6091852536796
1287,286.00508324757817
1293,273.74794283737083
1297,284.2680677083231
1298,267.1079783287718
1309,270.23538021009847
1331,281.3369512620461
1338,268.39332823941066
1342,271.49579557196375
1381,278.38984801606665
1384,262.13215728565723
8476,280.445399619014
8477,279.99781359755514
8478,279.60251327391603
8479,279.4326816964527
8480,279.73960333710613
8481,279.98399905549854
8482,279.4863095418225
8483,278.89404162457225
8484,278.1550644193153
8485,277.27246771262173
8486,276.3659725557364
8487,275.3441393553289
8488,274.3654380126791
8489,273.3808679657061
8490,272.4171045224445
8491,271.5029478468739
8492,270.62865276035666
8493,269.69913056578775
8494,268.7558217375778
8495,267.8534849942466
8496,266.8682260925119
8497,265.8112141406144
8513,265.10778042740424
8514,267.85716542920636
8515,271.74965314095664
8516,277.23023844499653
8517,283.3015103416269
8526,280.88282046781865
8527,281.00912711920427
8528,281.3297340635346
8529,281.80650272550986
8530,282.2638345241724
8531,282.80044915735243
8532,284.03240969546016
8539,283.1463483736075
8540,282.4353807267322
8541,282.1152061330123
8542,281.65552922070117
8543,281.1092898913351
8544,280.45228352087486
8545,279.98498525814125
8546,279.5630806772083
8547,279.19886025464166
8548,279.11487893713957
8549,277.9184652559134
8550,276.52446895758516
8551,274.6196987832329
8552,272.93822330449115
8553,271.3147370322866
8554,269.850263961683
8555,268.49239875573426
8571,264.5111283672486
8572,268.99557363007614
8573,274.71545578842586
8574,276.5986838249471
8631,280.89412678944484
8632,280.2748687044299
8633,277.7381054935413
8634,277.3715954037208
8635,278.68921567540065
8636,279.0329455364895
8637,279.144961795417
8638,278.5598402496553
8639,276.0684824361405
8640,273.97662300511683
8641,277.81758517305775
8642,279.7222411061991
8643,279.14014562472494
8644,280.12306733525605
8645,280.0518511399447
8646,275.6571939058242
8647,273.9003005164951
8648,275.8661728144535
8649,277.39015913834965
8650,278.1009502397205
8651,277.1718032419484
8652,274.53008782861855
8653,271.079510469733
8654,273.9913523029532
8655,278.4003893114186
8656,277.8318010655056
8657,276.9249762044485
8658,278.6398052772699
8659,274.8350734275515
8660,269.7541983323565
8661,272.4815637552222
8662,275.3364292251017
8663,275.41214427911785
8664,274.50377120457006
8665,272.2608618959687
8666,269.0296620088077
8667,270.9493857495718
8668,276.6640327697457
8669,275.6073589329268
8670,271.61728808325233
8671,275.78368210948815
8672,272.70992389809277
8675,272.5690915942174
8676,272.3141714009639
8677,271.0307647509654
8678,269.0077975494563
8681,272.7209767937636
8682,272.4417264998732
8684,271.7363284424789
8685,268.86644677154754
8688,269.3299987309291
8791,270.3396457658883
8793,269.6632212560244
8797,273.4741142053257
8799,274.4781007624438
8805,274.81838408531985
8821,265.9821916855314
8822,282.116791265863
8823,281.7295939299898
8824,280.7818083808779
8825,278.0999012566261
8826,281.36800351738503
8827,281.47054129986327
8828,281.4295594681211
8829,281.38849137676215
8830,281.2481815341829
8831,281.21522038776664
8832,281.68115821745914
8833,282.9177938692608
8834,281.457491961046
8835,279.8391715829455
8836,275.7197880971876
8837,273.6932996389536
8838,278.07516541745036
8839,280.2027884623814
8840,280.4445478743419
8841,281.12259310438304
8842,281.15453537651007
8843,278.0127087602649
8844,280.755355882495
8845,281.3585818184534
8846,281.37363483845104
8847,281.2970106034507
8848,280.9798894111052
8849,278.44120638506797
8850,275.12747625755816
8851,280.7063010863509
8852,278.9526836146945
8853,278.2342626008052
8854,277.6885037845683
8855,281.4982958745138
8856,282.105831344349
8857,278.2898329464159
8858,276.91617533263036
8859,270.5853821852378
8860,270.5216523666735
8861,274.7484823451934
8862,277.13568573462254
8863,276.6907012207329
8864,279.2750790710918
8865,277.9611203350511
8866,273.14060633774875
8867,278.5608784847691
8868,280.92086895058185
8869,278.6627456720523
8870,277.98428012092364
8871,279.15259611473726
8872,276.4655565191796
8873,271.13130437997586
8874,280.0016544276782
8875,274.52511042478324
8876,273.0713013024882
8877,275.36896380209737
8878,280.39005863195564
8879,278.9661184384717
8880,275.9685006481518
8881,273.98455420873796
8883,268.01543840346665
8884,272.3990167867555
8885,273.5917123370515
8886,273.1405710809761
8887,276.42247956922904
8888,274.7765253173606
8889,269.72746889951065
8890,275.5524549226808
8891,280.03797601954295
8892,273.82167642286095
8893,274.59161650663043
8894,276.72656712146636
8895,272.2622772892871
8896,271.38713536920056
8897,278.65881553153514
8898,271.3775552527689
8899,271.0908432184237
8900,269.02498684375905
8901,274.32395320384774
8902,278.85090880223714
8903,272.9628843422051
8904,273.8368382184904
8905,271.78209412027104
8908,269.9547393916386
8909,269.9446561142092
8910,269.80478044517974
8911,273.7309720698152
8912,271.3584017529299
8914,274.02139509846506
8915,278.94094896402555
8916,269.5093414890721
8918,274.24295805985093
8919,269.0304262096422
8921,277.53910633983475
8925,272.0972862759196
8926,276.43325305792047
8928,272.82482761072043
8929,269.8728401056671
8932,268.44383903093444
8935,270.9451865820691
8938,272.4155496929881
8939,277.3447924705057
8942,272.3644576262278
8944,268.5436560423826
8945,276.8433629061942
8949,271.44410468042025
8950,275.31084963233275
8952,272.8407568868847
8953,274.2020188432077
8958,267.3223770248783
8961,269.5235446900261
8962,277.23394189398374
8965,271.2628545578901
8967,267.6768008058957
8968,276.78788683707586
8972,271.5694008042168
8973,274.8704346635155
8975,273.1213154723964
8976,270.98373046530486
8985,269.12263401034306
8986,276.8910535436298
8989,273.0928740883611
8991,268.67234577887984
8992,277.83616950044336
8995,274.65589426670795
8996,275.79943606465656
8998,281.6784396691165
8999,278.33225769218353
9001,270.02684989174236
9004,267.1038386723148
9008,271.10016421495754
9009,277.8320023562211
9011,273.50505743710073
9012,276.7970698494267
9014,268.38282200485185
9015,278.74735318194746
9018,278.20106787543955
9019,278.030952331878
9022,282.73592175689066
9024,278.1286757614232
9027,272.58864986528465
9031,271.9571780644268
9032,279.4111102558918
9034,283.0726204782504
9035,282.1549504923224
9036,271.827919504233
9037,274.08414392818264
9042,280.3554822114362
9043,280.1416722633213
9047,277.5476201073713
9048,283.4785697828801
9050,269.94537645277956
9051,279.20574538256744
9055,278.14154618412203
9058,285.63351671331714
9060,280.3782771447495
9061,283.0561814271066
9065,274.18656686447116
9073,267.69499684353127
9074,273.2636362427452
9075,282.56679743425025
9076,273.69039196798667
9078,278.6031641800007
9079,282.34873116151675
9085,280.9630392822736
9101,277.59410906682467
9112,281.64885518296546
9115,270.96806993362975
9120,270.7278261499114
9127,274.40636977435827
9133,271.5596961138074
9154,280.63946255319456
9160,265.5257092015663
9173,262.6105153102526
9174,281.1476921355195
9175,281.55119131470894
